gene,location,confidence
ACP1,Nucleus,2.0
ACP1,Cytosol,2.0
ACP5,Cytosol,2.0
ACRBP,Nucleus,2.0
ACRBP,Vesicles,2.0
ACRC,Vesicles,2.0
ACSBG1,Vesicles,2.0
ACSBG2,Cytosol,0.0
ACSF2,Nucleus,2.0
ACSF2,Cytoskeleton,2.0
ACSF2,Cytosol,2.0
ACSL1,Nucleus,1.0
ACSL1,Mitochondria,1.0
ACSL3,Nucleolus,2.0
ACSL3,Vesicles,2.0
ACSL4,Golgi apparatus,5.0
ACSL4,Mitochondria,2.0
ACSL5,Nucleus,2.0
ACSL5,Mitochondria,1.0
ACSS2,Nucleus,0.0
ACSS2,Vesicles,2.0
ACSS2,Cytosol,1.0
ACSS3,Mitochondria,2.0
ACTC1,Cytoskeleton,2.0
ACTL6A,Nucleus,3.0
ACTL6A,Cytosol,0.0
ACTL6B,Nucleolus,2.0
ACTL8,Cytosol,2.0
ACTN1,Cytoskeleton,6.0
ACTN1,Plasma membrane,6.0
ACTN4,Nucleus,1.0
ACTN4,Cytosol,1.0
ACTR10,Nucleolus,2.0
ACTR1A,Cytoskeleton,2.0
ACTR1B,Cytoskeleton,2.0
ACTR2,Cytosol,2.0
ACTR6,Cytosol,2.0
ACTR6,Plasma membrane,2.0
ACTR8,Nucleus,1.0
ACTR8,Cytoskeleton,2.0
ACTRT3,Nucleus,2.0
ACVR1B,Cytosol,3.0
ACVR2A,Cytosol,2.0
ACVR2B,Nucleus,2.0
ACVR2B,Nucleus,2.0
ACVR2B,Cytosol,2.0
ACYP1,Nucleus,2.0
ACYP1,Cytosol,2.0
ACYP2,Nucleus,2.0
ADAL,Cytoskeleton,2.0
ADAM10,Vesicles,1.0
ADAM10,Plasma membrane,5.0
ADAM12,Plasma membrane,5.0
ADAM15,Vesicles,0.0
ADAM17,Cytosol,1.0
ADAM19,Vesicles,2.0
ADAM22,Plasma membrane,6.0
ADAM28,Mitochondria,2.0
ADAM28,Plasma membrane,2.0
ADAM32,Nucleus,2.0
ADAM32,Vesicles,2.0
ADAM33,Nucleus,0.0
ADAM33,Plasma membrane,1.0
ADAM9,Endoplasmic reticulum,2.0
ADAM9,Vesicles,2.0
ADAMTS1,Cytosol,3.0
ADAMTS10,Cytosol,2.0
ADAMTS14,Cytosol,0.0
ADAMTS15,Cytosol,2.0
ADAMTS17,Nucleus,2.0
ADAMTS19,Vesicles,2.0
ADAMTS19,Cytoskeleton,2.0
ADAMTS2,Vesicles,2.0
ADAMTS2,Plasma membrane,2.0
ADAMTS3,Cytoskeleton,2.0
ADAMTS4,Nucleus,2.0
ADAMTS5,Nucleus,1.0
ADAMTS7,Vesicles,2.0
ADAMTS9,Endoplasmic reticulum,1.0
ADAMTS9,Vesicles,2.0
ADAMTSL2,Nucleus,2.0
ADAMTSL2,Vesicles,2.0
ADAMTSL3,Vesicles,2.0
ADAMTSL4,Cytosol,2.0
ADAMTSL4,Plasma membrane,5.0
ADAMTSL5,Golgi apparatus,2.0
ADAP1,Cytosol,1.0
ADAP1,Plasma membrane,2.0
ADAR,Nucleus,3.0
ADAR,Nucleolus,3.0
ADARB1,Nucleus,1.0
ADARB1,Cytosol,2.0
ADAT1,Nucleus,1.0
ADAT2,Nucleus,2.0
ADAT2,Golgi apparatus,2.0
ADAT2,Cytosol,2.0
ADAT3,Nucleus,2.0
ADCK1,Nucleus,2.0
ADCK2,Cytoskeleton,0.0
ADCK2,Cytosol,0.0
ADCK3,Mitochondria,3.0
ADCK4,Mitochondria,3.0
ADCK5,Cytosol,2.0
ADCK5,Plasma membrane,2.0
ADCY1,Mitochondria,2.0
ADCY5,Cytoskeleton,0.0
ADCY6,Golgi apparatus,2.0
ADCY7,Cytosol,2.0
ADCY9,Cytosol,2.0
ADCYAP1R1,Vesicles,0.0
ADD1,Nucleus,3.0
ADD1,Plasma membrane,3.0
ADD2,Nucleus,0.0
ADD2,Cytosol,2.0
ADD2,Plasma membrane,1.0
ADD3,Plasma membrane,1.0
ADGB,Nucleus,0.0
ADGB,Mitochondria,0.0
ADGRB2,Cytoskeleton,1.0
ADGRD1,Nucleus,2.0
ADGRD1,Cytosol,2.0
ADGRE2,Vesicles,2.0
ADGRE5,Cytosol,2.0
ADGRF4,Mitochondria,0.0
ADGRG2,Cytosol,2.0
ADGRG2,Plasma membrane,1.0
ADGRG5,Nucleus,2.0
ADGRG5,Nucleus,2.0
ADGRG5,Vesicles,2.0
ADGRL2,Plasma membrane,2.0
ADGRL2,Plasma membrane,2.0
ADH1A,Cytosol,1.0
ADH1A,Plasma membrane,2.0
ADH1B,Cytosol,1.0
ADH1B,Plasma membrane,2.0
ADH1C,Nucleus,2.0
ADH1C,Cytosol,1.0
ADH1C,Plasma membrane,2.0
ADH4,Nucleus,0.0
ADH4,Cytosol,0.0
ADH7,Cytosol,1.0
ADH7,Plasma membrane,2.0
ADHFE1,Vesicles,2.0
ADI1,Nucleus,3.0
ADI1,Golgi apparatus,2.0
ADIRF,Nucleus,1.0
ADIRF,Cytosol,2.0
ADK,Nucleus,1.0
ADK,Cytosol,1.0
ADNP,Nucleus,2.0
ADNP2,Cytosol,2.0
ADNP2,Mitochondria,2.0
ADORA1,Plasma membrane,5.0
ADORA2B,Cytosol,0.0
